Country;Purchasing Power Index;Safety Index;Health Care Index
Denmark;117.53;77.98;77.07
Finland;119.42;76.3;75.4
Netherlands;109.48;71.06;81.08
Switzerland;126.15;78.24;71.73
Austria;98.69;79.59;78.8
Germany;125.01;63.35;75.44
Australia;122.98;57.45;76.21
New Zealand;98.61;60.85;71.95
United States;127.62;50.42;68.38
Sweden;113.01;50.74;70.42
Estonia;74.82;79.17;71.35
Norway;107.95;56.67;74.66
Japan;107.35;86.9;81.72
Slovenia;80.33;75.29;64.69
Spain;90.67;63.26;77.49
Canada;118.92;60.72;70.58
United Kingdom;108.54;58.8;74.19
Portugal;61.97;65.46;69.5
France;101.21;54.71;78.03
Belgium;98.91;57.83;80.43
United Arab Emirates;124.78;81.25;63.48
Ireland;96.1;56.18;53.02
Taiwan;106.38;79.26;82
Croatia;59.77;73;63.83
Czech Republic;76.35;71.19;75.36
Qatar;125.05;84.3;70.5
South Korea;109.36;64.17;83.4
Slovakia;67.29;69.85;64.42
Israel;102.3;63.1;74.05
Singapore;95.89;83.77;69.61
Saudi Arabia;131.46;63.31;60.19
Lithuania;57.29;62.41;66.81
Poland;74.42;63.77;62.08
Italy;81.07;55.47;68.01
Romania;66.2;70.96;54.56
South Africa;99.83;24.29;62.96
Greece;53.8;60.93;54.18
Hungary;50.62;63.49;51.09
Argentina;60.15;38.21;71.31
Bulgaria;54.44;60.3;52.11
Bosnia And Herzegovina;52.4;59.95;55.9
Turkey;53.78;58.94;70.42
Mexico;58.18;48.95;68.62
Serbia;41.81;62.24;53.42
Chile;54.53;53.52;61.9
India;79.27;55.84;67.39
Malaysia;72.98;36.95;65.64
Indonesia;37.49;55.28;65.95
Colombia;38.59;49.34;67.8
Hong Kong;82.86;79.1;63.81
Russia;51.11;54.8;56.77
Thailand;38.59;52.75;80.87
Pakistan;41.11;48.77;57.47
Brazil;41.55;29.45;52.65
China;72.28;60.56;62.88
Philippines;34.02;59.87;68.22
Ukraine;30.24;50.61;50.11
Iran;45.6;50.6;51.22
Egypt;24.67;46.28;44.42
Vietnam;30.09;47.78;52.45
